run_mode,attack_type,total_cases,asr,orr,utility_rate,refusal_rate,unsafe_rate,avg_cost
simulator,injection_style,120,0.25,0.6666666666666666,0.3333333333333333,0.7083333333333334,0.125,1.25
simulator,multi_turn_simulation,120,0.25,0.16666666666666666,0.8333333333333334,0.4583333333333333,0.125,1.25
simulator,none,120,0.0,0.06666666666666667,0.9333333333333333,0.5333333333333333,0.0,1.25
simulator,obfuscation,120,0.35,0.03333333333333333,0.9666666666666667,0.3416666666666667,0.175,1.25
simulator,role_play,120,0.26666666666666666,0.16666666666666666,0.8333333333333334,0.45,0.13333333333333333,1.25
