run_mode,defense_type,total_cases,asr,orr,utility_rate,refusal_rate,unsafe_rate,avg_cost
simulator,defense_in_depth,150,0.0,0.37333333333333335,0.6266666666666667,0.6866666666666666,0.0,1.5
simulator,input_filter,150,0.09333333333333334,0.37333333333333335,0.6266666666666667,0.64,0.04666666666666667,1.2
simulator,no_defense,150,0.8,0.06666666666666667,0.9333333333333333,0.13333333333333333,0.4,1.0
simulator,output_moderation,150,0.0,0.06666666666666667,0.9333333333333333,0.5333333333333333,0.0,1.3
